['Friday - 14 May 2021', '13:00', 'Gym Entry Time', '1493346']
['Friday - 14 May 2021', '13:30', 'Gym Entry Time', '1493398']
['Friday - 14 May 2021', '14:00', 'Gym Entry Time', '1493450']
['Friday - 14 May 2021', '14:30', 'Gym Entry Time', '1493502']
['Friday - 14 May 2021', '15:00', 'Gym Entry Time', '1493554']
['Friday - 14 May 2021', '15:30', 'Gym Entry Time', '1493606']
['Friday - 14 May 2021', '16:00', 'Gym Entry Time', '1493658']
['Friday - 14 May 2021', '16:30', 'Gym Time', '1493710']
['Friday - 14 May 2021', '17:00', 'Gym Time', '1493762']
['Friday - 14 May 2021', '17:00', 'Holistic Studio Time', '1522646']
['Friday - 14 May 2021', '17:30', 'Gym Entry Time', '1493814']
['Friday - 14 May 2021', '17:30', 'Ride Studio Time', '1522925']
['Friday - 14 May 2021', '18:00', 'Sweat Studio Time', '1522515']
['Friday - 14 May 2021', '18:00', 'Gym Entry Time', '1493866']
['Friday - 14 May 2021', '18:00', 'No Holds Barre', '1523543']
['Friday - 14 May 2021', '18:30', 'Gym Entry Time', '1493895']
['Friday - 14 May 2021', '18:45', 'Ride Studio Time', '1522935']
['Friday - 14 May 2021', '19:00', 'Gym Entry Time', '1493970']
['Friday - 14 May 2021', '19:30', 'Gym Time', '1494022']
['Friday - 14 May 2021', '20:00', 'Gym Entry Time', '1494074']
['Friday - 14 May 2021', '20:30', 'Gym Entry Time', '1494126']
['Friday - 14 May 2021', '21:00', 'Gym Entry Time', '1494178']
['Friday - 14 May 2021', '21:30', 'Gym Entry Time', '1494230']
['Friday - 14 May 2021', '22:00', 'Last Entry Time', '1497127']
['Saturday - 15 May 2021', '22:00', 'Last Entry Time', '1497127']
['Saturday - 15 May 2021', '22:00', 'Last Entry Time', '1497127']
['Saturday - 15 May 2021', '08:00', 'Gym Entry Time', '1385504']
['Saturday - 15 May 2021', '08:30', 'Gym Entry Time', '1385972']
['Saturday - 15 May 2021', '09:00', 'Gym Entry Time', '1386334']
['Saturday - 15 May 2021', '09:00', 'Holistic Studio Time', '1522656']
['Saturday - 15 May 2021', '09:30', 'Ride Studio Time', '1522945']
['Saturday - 15 May 2021', '09:30', 'Gym Entry Time', '1389846']
